Title:,"Time Series, Area-Averaged of Methane, Mole Fraction in Air (Daytime/Ascending, AIRS-only) daily ()"
User Start Date:,2002-01-01T00:00:00Z
User End Date:,2020-12-31T23:59:59Z
User Bounding Box:,"-57.41,-5.76,-53.95,-3.2"
Data Bounding Box:,"-57,-5,-54,-4"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2002-01-01T00:00:00Z&endtime=2020-12-31T23:59:59Z&bbox=-57.41,-5.76,-53.95,-3.2&data=AIRS3STD_7_0_CH4_VMR_A(z%3D400)&variableFacets=dataFieldDiscipline%3AAtmospheric%20Chemistry%3BdataFieldMeasurement%3ACH4%3BdataProductTimeInterval%3Adaily%3B&portal=GIOVANNI&format=json"
Fill Value (mean_AIRS3STD_7_0_CH4_VMR_A):, -9999

time, mean_AIRS3STD_7_0_CH4_VMR_A
2002-08-31,-9999
2002-09-01,1699.83646
2002-09-02,-9999
2002-09-03,1777.89754
2002-09-04,1788.60436
2002-09-05,1802.10918
2002-09-06,1791.16678
2002-09-07,-9999
2002-09-08,1786.97743
2002-09-09,-9999
2002-09-10,1777.89336
2002-09-11,1790.93331
2002-09-12,-9999
2002-09-13,1789.7355
2002-09-14,-9999
2002-09-15,1775.33142
2002-09-16,-9999
2002-09-17,1760.32384
2002-09-18,-9999
2002-09-19,1791.97905
2002-09-20,1777.67716
2002-09-21,1790.46349
2002-09-22,1784.87971
2002-09-23,-9999
2002-09-24,1776.27026
2002-09-25,-9999
2002-09-26,1799.43203
2002-09-27,-9999
2002-09-28,1754.85879
2002-09-29,1787.21026
2002-09-30,-9999
2002-10-01,1774.16966
2002-10-02,-9999
2002-10-03,1775.68266
2002-10-04,-9999
2002-10-05,1789.99998
2002-10-06,1786.50649
2002-10-07,1793.72728
2002-10-08,1787.32356
2002-10-09,-9999
2002-10-10,1781.85404
2002-10-11,-9999
2002-10-12,1788.02061
2002-10-13,-9999
2002-10-14,1722.70546
2002-10-15,1785.07999
2002-10-16,-9999
2002-10-17,-9999
2002-10-18,-9999
2002-10-19,-9999
2002-10-22,1780.6926
2002-10-23,-9999
2002-10-24,1731.32723
2002-10-25,-9999
2002-10-26,1775.6833
2002-10-27,-9999
2002-10-28,1785.57709
2002-10-29,-9999
2002-10-30,1746.45194
2002-10-31,1741.11986
2002-11-01,-9999
2002-11-02,1778.71346
2002-11-03,-9999
2002-11-04,1778.12954
2002-11-05,-9999
2002-11-06,1763.12712
2002-11-07,1791.39929
2002-11-08,-9999
2002-11-09,1765.78312
2002-11-10,-9999
2002-11-11,1738.19805
2002-11-12,-9999
2002-11-13,1775.33398
2002-11-14,1737.84792
2002-11-15,1795.12714
2002-11-16,1792.53203
2002-11-17,-9999
2002-11-18,1785.11191
2002-11-19,-9999
2002-11-20,1778.59185
2002-11-21,-9999
2002-11-22,1755.67764
2002-11-23,1746.23654
2002-11-24,-9999
2002-11-25,1765.31858
2002-11-26,-9999
2002-11-27,1745.99908
2002-11-28,-9999
2002-11-29,1773.93523
2002-11-30,-9999
2002-12-01,1792.33893
2002-12-02,1756.17332
2002-12-03,-9999
2002-12-04,1767.29916
2002-12-05,-9999
2002-12-06,1776.15328
2002-12-07,-9999
2002-12-08,1699.6637
2002-12-09,1730.85469
2002-12-10,-9999
2002-12-11,1751.3529
2002-12-12,-9999
2002-12-13,1740.29161
2002-12-14,-9999
2002-12-15,1739.3614
2002-12-16,-9999
2002-12-17,1720.1528
2002-12-18,1726.01763
2002-12-19,-9999
2002-12-20,1729.10045
2002-12-21,-9999
2002-12-22,1749.60595
2002-12-23,-9999
2002-12-24,1781.09069
2002-12-25,1766.25262
2002-12-26,1769.51289
2002-12-27,1758.57129
2002-12-28,-9999
2002-12-29,1730.05601
2002-12-30,-9999
2002-12-31,1749.02635
2003-01-01,-9999
2003-01-02,1683.50784
2003-01-03,-9999
2003-01-04,-9999
2003-01-05,1743.55188
2003-01-06,-9999
2003-01-07,1728.54301
2003-01-08,-9999
2003-01-09,1734.80105
2003-01-10,1773.00455
2003-01-11,-9999
2003-01-12,1739.949
2003-01-13,-9999
2003-01-14,1752.28023
2003-01-15,-9999
2003-01-16,1749.37392
2003-01-17,-9999
2003-01-18,1722.24875
2003-01-19,1734.28606
2003-01-20,-9999
2003-01-21,1743.90472
2003-01-22,-9999
2003-01-23,1739.71073
2003-01-24,-9999
2003-01-25,1755.80802
2003-01-26,1744.8386
2003-01-27,-9999
2003-01-28,1758.10403
2003-01-29,-9999
2003-01-30,1739.01224
2003-01-31,-9999
2003-02-01,1720.49237
2003-02-02,-9999
2003-02-03,1745.53373
2003-02-04,1733.4972
2003-02-05,-9999
2003-02-06,1746.69677
2003-02-07,-9999
2003-02-08,1740.29736
2003-02-09,-9999
2003-02-10,1766.05476
2003-02-11,1760.2019
2003-02-12,1718.29015
2003-02-13,1735.23449
2003-02-14,-9999
2003-02-15,1751.3561
2003-02-16,-9999
2003-02-17,1729.11174
2003-02-18,-9999
2003-02-19,1711.78432
2003-02-20,1748.0929
2003-02-21,-9999
2003-02-22,1743.08669
2003-02-23,-9999
2003-02-24,1738.25113
2003-02-25,-9999
2003-02-26,1728.54109
2003-02-27,1752.74845
2003-02-28,1771.37554
2003-03-01,1740.75823
2003-03-02,-9999
2003-03-03,1721.66531
2003-03-04,-9999
2003-03-05,1729.70397
2003-03-06,-9999
