system:index,maximum_2m_air_temperature,mean_2m_air_temperature,minimum_2m_air_temperature,system:time_end,system:time_start,total_precipitation,.geo
20050101,304.049078926386,299.16144836288026,295.9878185719544,1.104624E12,1.1045376E12,0.011559519369883859,"{""type"":""MultiPoint"",""coordinates"":[]}"
20050102,304.62198565009083,299.2220176748001,295.7530145038017,1.1047104E12,1.104624E12,0.00855759413355494,"{""type"":""MultiPoint"",""coordinates"":[]}"
20050103,306.0370713362197,300.0032589216041,295.6736868996844,1.1047968E12,1.1047104E12,0.005468975826385898,"{""type"":""MultiPoint"",""coordinates"":[]}"
20050104,306.7135665188279,300.7150216588162,296.1807172924748,1.1048832E12,1.1047968E12,0.001345504851006033,"{""type"":""MultiPoint"",""coordinates"":[]}"
20050105,306.4740023767743,300.93437777194436,296.92453269224075,1.1049696E12,1.1048832E12,0.0020251355221885723,"{""type"":""MultiPoint"",""coordinates"":[]}"
20050106,306.16063507320666,300.5680915093447,297.0930023571712,1.105056E12,1.1049696E12,0.004484768458609755,"{""type"":""MultiPoint"",""coordinates"":[]}"
20050107,306.39995761089415,300.77451919267827,297.0297213467682,1.1051424E12,1.105056E12,0.0047258776349605,"{""type"":""MultiPoint"",""coordinates"":[]}"
20050108,305.36117060573105,300.4519891446354,296.8155006797884,1.1052288E12,1.1051424E12,0.005867497880627571,"{""type"":""MultiPoint"",""coordinates"":[]}"
20050109,305.14467553106897,299.766549478645,296.08498878618207,1.1053152E12,1.1052288E12,0.006730161659600952,"{""type"":""MultiPoint"",""coordinates"":[]}"
20050110,306.1893448787004,300.30949688343003,296.64057997481734,1.1054016E12,1.1053152E12,0.007614145833413853,"{""type"":""MultiPoint"",""coordinates"":[]}"
20050111,306.24911861224615,300.66889406612887,295.6947328360629,1.105488E12,1.1054016E12,0.0013357405888221134,"{""type"":""MultiPoint"",""coordinates"":[]}"
20050112,306.4479009965041,301.25627901996927,297.47913774895204,1.1055744E12,1.105488E12,0.0034743547407660113,"{""type"":""MultiPoint"",""coordinates"":[]}"
20050113,304.85923263621623,300.2314501418493,297.2669709762823,1.1056608E12,1.1055744E12,0.0063635439548945585,"{""type"":""MultiPoint"",""coordinates"":[]}"
20050114,304.763788594767,300.1204420700881,297.3866367649889,1.1057472E12,1.1056608E12,0.009070571682534759,"{""type"":""MultiPoint"",""coordinates"":[]}"
20050115,304.78811415858615,299.96225481647326,297.10425215862375,1.1058336E12,1.1057472E12,0.010028424139567605,"{""type"":""MultiPoint"",""coordinates"":[]}"
20050116,305.4832640787031,300.39865571603013,297.23800669212466,1.10592E12,1.1058336E12,0.007114130939736245,"{""type"":""MultiPoint"",""coordinates"":[]}"
20050117,305.5662167345897,300.2683602662188,297.143941176604,1.1060064E12,1.10592E12,0.008678728703895053,"{""type"":""MultiPoint"",""coordinates"":[]}"
20050118,300.51560380527684,297.79186502851525,295.721555780674,1.1060928E12,1.1060064E12,0.013400231737479375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20050119,304.2822912145666,298.9420636367062,295.65985013045463,1.1061792E12,1.1060928E12,0.0034832553150014934,"{""type"":""MultiPoint"",""coordinates"":[]}"
20050120,303.87953153088415,298.98675169211543,296.2679144789937,1.1062656E12,1.1061792E12,0.014417571487375934,"{""type"":""MultiPoint"",""coordinates"":[]}"
20050121,300.42084050826156,297.80846403605125,295.9806653835988,1.106352E12,1.1062656E12,0.0422973341331082,"{""type"":""MultiPoint"",""coordinates"":[]}"
20050122,304.57366957473295,298.40098862005925,294.7495650133428,1.1064384E12,1.106352E12,0.006196650380008541,"{""type"":""MultiPoint"",""coordinates"":[]}"
20050123,302.6549023572514,298.6053206947259,296.1526017299421,1.1065248E12,1.1064384E12,0.013293564789903446,"{""type"":""MultiPoint"",""coordinates"":[]}"
20050124,304.91208510326703,298.86663105009995,295.47827638854517,1.1066112E12,1.1065248E12,0.009727764455519828,"{""type"":""MultiPoint"",""coordinates"":[]}"
