,date,Percent,Percent_Water,maximum_2m_air_temperature,mean_2m_air_temperature,minimum_2m_air_temperature,total_precipitation,mean_CH4,mean_CO2,mean_CO,precip_mm_month,Num_Days,porcentagem
0,1985,95.71958422450606,0.6104794987744429,303.3970470334319,298.2257099587521,294.8054334349448,477.00636698242056,,,,,,
1,1986,95.59480298627022,0.6538093061971575,303.2599632055824,298.30428191205704,295.0157659332515,575.5461049235876,,,,,,
2,1987,95.25699137631251,0.6626971829777791,304.15821813412555,299.1910690331888,295.8025403632336,473.9431552865482,,,,,,
3,1988,95.12527408780494,0.6614938449883678,304.05672466033747,299.02799917138896,295.24233770325964,421.0896788331145,,,,,,
4,1989,94.99919626938762,0.6583851855125361,303.43687415698275,298.6676858093325,295.1769459867157,461.4960139232114,,,,,,
5,1990,95.0239979922168,0.6690928744782869,303.458494643321,298.5198082436383,294.9442864967827,420.5983574156107,,,,,,
6,1991,94.94430712453746,0.6728688952380838,304.5137733837515,299.34919690892764,295.58126699049694,326.320475875249,,,,,,
7,1992,94.57159911909962,0.6705475382342918,305.12726446650885,299.6785504280708,295.8039970583762,272.99503962736026,,,,,,
8,1993,94.37248144787584,0.6707638517834474,304.1476189873724,299.1512361423439,295.5093717225693,460.3713287081643,,,,,,
9,1994,94.4734789943707,0.6590110760927563,304.1912711917643,299.17395399810437,295.3666838391014,416.76998579360884,,,,,,
10,1995,94.05371367473472,0.65842213432475,305.6413521684726,300.0396263216545,296.02584398219676,233.28154141756272,,,,,,
11,1996,93.1107757937432,0.648095208477138,303.96040205859293,298.9359009932239,295.38144642056,452.4161181115053,,,,,,
12,1997,92.77509358934796,0.6454319537563218,306.28627146168577,300.6459093561618,296.4940813182023,166.41122867385363,,,,,,
13,1998,92.83395004323928,0.6400429350848212,305.023773424338,299.7152801038665,296.0833656452935,391.36235097287914,,,,,,
14,1999,92.87359272523744,0.6709449405874217,304.7276699732204,299.28544119750643,295.43408045897917,435.54654533078343,,,,,,
15,2000,92.7253969390908,0.6430692059144217,303.5512367458579,298.49644975240614,295.053847511207,556.9724138200797,,,,100.03293298132161,,
16,2001,92.56763245910726,0.6351022641354614,304.1890321202005,298.9233726085755,295.19810895898956,437.48563693907175,,,,70.02969956658505,71.2754072736839,58.422464978429424
17,2002,92.5227549299602,0.64931026498073,305.12387558277027,299.7562824063193,295.91529156271656,297.232953161723,1779.1357857894736,,131.01291933333331,44.97187577345524,77.38870408514732,63.433364004219115
18,2003,92.4736532892264,0.644675641289136,304.4438927788887,299.22466740630836,295.57223048401073,432.2691989984294,1771.1712712195122,,99.88318774949495,71.49340599547847,67.06113834836354,54.96814618718323
19,2004,92.18826453748927,0.6481760715580719,304.3038433887463,299.02578857922344,295.31248066709514,419.61830039056,1774.948786125,,100.51568375612246,71.49175993748884,65.62156310427443,53.78816647891347
20,2005,92.07134686603962,0.6289543338806809,305.6908731729853,300.19535050614303,296.14728620887144,275.5046039897785,1775.5272507692305,,114.57616866836736,46.22530875901849,83.27285230026337,68.25643631169129
21,2006,91.77903877714311,0.6195917354025238,305.75848682281185,300.1209192875516,295.95027136569536,255.8900813189329,1780.5729456578947,,98.65889667083333,46.2912535176913,76.86714467854038,63.005856293885564
22,2007,91.57776885897024,0.6017346434807982,305.38220765279175,299.8139842494333,295.49091501040795,271.5509633206658,1787.473011875,,105.85186657346938,52.41998199956804,76.84241058094615,62.98558244339848
23,2008,91.42334558800076,0.6149985075000501,305.8216416748137,299.96581977781176,295.42780971124296,267.43447269301197,1796.4422017073168,,96.03964470101009,60.28055179370638,77.91830563140287,63.86746363229744
24,2009,91.24741415556308,0.6266136615607087,305.87541491666565,300.2279548958124,295.75105173745567,222.65094230105075,1802.8881959259259,,88.54153669292928,64.2900139973994,75.58316025001949,61.95341004099958
25,2010,91.1316253093481,0.6174601688776861,305.96674010349926,300.27364473963695,295.80363015608395,228.76769396761398,1794.8612106849314,,105.27329566767678,68.30912700300486,77.84650868550413,63.808613676642736
26,2011,91.22576415435104,0.6093848738167608,306.3754629493613,300.5039319076964,295.9132580138884,183.00493744415283,1817.3697016049384,,93.1664390909091,58.267588992263924,75.85544227826736,62.17659203136668
27,2012,91.29507247641368,0.6112615236982201,305.4436851328728,299.8287935492805,295.3876279263126,224.87254040136185,1813.4902923170732,,97.11745554646465,71.38709363078979,76.10823014739634,62.38379520278389
28,2013,91.2860224861695,0.6418479203541377,305.1890123796906,299.8815616326888,295.908595498006,391.4408264608609,1807.028076025641,,89.36369721030928,91.74294936025535,58.5312001424029,47.97639355934664
29,2014,91.11571074080192,0.633334499169611,306.02535827281093,300.4140515912771,295.9796102107161,195.1997377746097,1825.6298082278481,,90.36696731020407,66.6520239940653,67.10648063482897,55.00531199576145
30,2015,90.73318804111572,0.6709657995445106,306.7269658859454,300.92198825257475,296.3763081808236,169.7984211609395,1832.976797368421,398.51186243442623,93.57786255510204,41.58132497358645,76.66706361650184,62.84185542336216
31,2016,90.21195873475394,0.6687848605528404,305.9622214046237,300.23253424820604,295.91632137791805,352.0789152947204,1823.454408529412,402.2327366803279,94.5136026094737,70.78525415229383,61.53763279355004,50.44068261766397
32,2017,90.01163908396865,0.6578314872552224,307.2677513758593,301.1271147527698,296.59513450026213,169.0935384435883,1837.4678652564103,403.7738944590164,95.3437055848485,50.27700820066576,75.96325923284572,62.26496658429976
33,2018,89.91578239478298,0.6356157171597699,305.66028209637767,299.9549659800055,295.74914828244414,317.65601525616137,1851.2597386842106,406.2339118606557,89.81033037040817,73.87875794636935,71.93056167852284,58.95947678567446
34,2019,90.08615568763942,0.610122581333931,306.0270337359135,300.41461973849476,296.201339171743,248.6420311922904,1844.1181143037975,409.06346262295085,93.4931991040404,58.66322022709745,70.30795720795709,57.6294731212763
35,2020,88.89776429483327,0.6498341154592746,305.1713239166907,300.03225208222864,295.98970877976467,74.32927547639474,1855.8182663934426,411.05884821311474,100.58936519638554,39.359355582827,83.86812742677257,68.74436674325621
