system:index,Percent,.geo
0,95.71958422450606,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,95.59480298627022,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,95.25699137631251,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,95.12527408780494,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,94.99919626938762,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,95.0239979922168,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,94.94430712453746,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,94.57159911909962,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,94.37248144787584,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,94.4734789943707,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,94.05371367473471,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,93.1107757937432,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,92.77509358934796,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,92.83395004323928,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,92.87359272523743,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,92.7253969390908,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,92.56763245910726,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,92.5227549299602,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,92.4736532892264,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,92.18826453748929,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,92.07134686603962,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,91.77903877714311,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,91.57776885897023,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,91.42334558800076,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,91.24741415556309,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,91.1316253093481,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,91.22576415435103,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,91.29507247641368,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,91.2860224861695,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,91.11571074080193,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,90.73318804111571,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,90.21195873475394,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,90.01163908396865,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,89.91578239478298,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,90.08615568763942,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,88.89776429483327,"{""type"":""MultiPoint"",""coordinates"":[]}"
